time,price,date
12:22 PM,$6.40 + $1.00,"Tue, Mar 19, 2019"
2:28 PM,$7.38 + $2.00,"Tue, Mar 19, 2019"
2:49 PM,$8.18,"Tue, Mar 19, 2019"
3:17 PM,$0.00,"Tue, Mar 19, 2019"
11:28 AM,$3.19,"Wed, Mar 20, 2019"
11:43 AM,$5.16 + $3.00,"Wed, Mar 20, 2019"
1:00 PM,$11.05,"Wed, Mar 20, 2019"
3:00 PM,$4.00 + $1.00,"Wed, Mar 20, 2019"
3:18 PM,$22.10,"Wed, Mar 20, 2019"
4:34 PM,$8.29 + $3.00,"Wed, Mar 20, 2019"
5:13 PM,$10.91,"Wed, Mar 20, 2019"
6:22 PM,$3.19,"Wed, Mar 20, 2019"
6:32 PM,$8.61,"Wed, Mar 20, 2019"
6:55 PM,$3.56 + $1.00,"Wed, Mar 20, 2019"
12:52 PM,$10.24,"Thu, Mar 21, 2019"
1:49 PM,$15.02 + $4.63,"Thu, Mar 21, 2019"
2:25 PM,$7.93 + $4.00,"Thu, Mar 21, 2019"
2:43 PM,$7.97,"Thu, Mar 21, 2019"
8:41 PM,$4.68,"Thu, Mar 21, 2019"
8:58 PM,$3.68,"Thu, Mar 21, 2019"
9:16 PM,$5.10 + $3.00,"Thu, Mar 21, 2019"
9:30 PM,$3.51,"Thu, Mar 21, 2019"
10:07 PM,$4.45,"Thu, Mar 21, 2019"
10:45 PM,$11.53,"Thu, Mar 21, 2019"
11:06 PM,$7.15 + $2.00,"Thu, Mar 21, 2019"
2:29 PM,$9.90,"Fri, Mar 22, 2019"
7:41 PM,$82.36,"Wed, Apr 17, 2019"
12:05 PM,$3.19,"Tue, Apr 30, 2019"
7:43 PM,$3.33,"Thu, Apr 18, 2019"
6:16 PM,$5.11,"Mon, Apr 22, 2019"
1:27 AM,$3.19 + $1.00,"Thu, Apr 18, 2019"
2:09 PM,$4.45 + $2.00,"Fri, Apr 19, 2019"
,,"Sun, Apr 21, 2019"
10:15 AM,$5.86 + $3.00,"Tue, Apr 30, 2019"
5:31 PM,$8.91,"Wed, Apr 24, 2019"
,,"Thu, Apr 25, 2019"
10:31 AM,$10.95,"Tue, Apr 30, 2019"
,,"Sun, Apr 28, 2019"
,,"Tue, Apr 16, 2019"
1:41 PM,$5.26 + $2.00,"Fri, Apr 19, 2019"
10:37 PM,$3.19,"Thu, Apr 18, 2019"
1:45 PM,$4.40,"Mon, Apr 29, 2019"
4:55 PM,$3.22,"Mon, Apr 29, 2019"
,,"Sat, Apr 27, 2019"
1:20 PM,$5.47 + $1.00,"Tue, Apr 30, 2019"
9:20 PM,$4.05,"Thu, Apr 18, 2019"
3:36 PM,$8.35 + $5.00,"Mon, Apr 22, 2019"
1:42 AM,$0.00,"Thu, Apr 18, 2019"
1:28 PM,$3.19,"Fri, Apr 19, 2019"
5:03 PM,$7.30,"Tue, Apr 23, 2019"
,,"Mon, Apr 15, 2019"
6:03 PM,$9.24 + $3.00,"Wed, Apr 17, 2019"
9:01 PM,$3.19 + $1.00,"Thu, Apr 18, 2019"
4:55 PM,$3.19,"Tue, Apr 23, 2019"
2:28 PM,$4.72,"Fri, Apr 19, 2019"
5:05 PM,$3.19,"Mon, Apr 29, 2019"
10:43 PM,$3.19,"Thu, Apr 18, 2019"
2:46 PM,$3.19,"Fri, Apr 19, 2019"
3:59 PM,$4.42 + $1.00,"Wed, Apr 17, 2019"
7:51 PM,$3.48,"Thu, Apr 18, 2019"
6:03 PM,$0.00,"Mon, Apr 22, 2019"
2:49 PM,$3.46,"Mon, Apr 22, 2019"
7:24 PM,$3.19 + $1.00,"Tue, Apr 23, 2019"
5:04 PM,$3.21 + $1.00,"Wed, Apr 17, 2019"
,,"Fri, Apr 26, 2019"
2:55 PM,$6.70 + $3.00,"Fri, Apr 19, 2019"
4:49 PM,$13.24 + $4.99,"Mon, Apr 22, 2019"
7:24 PM,$3.19,"Wed, Apr 24, 2019"
12:31 PM,$3.19,"Tue, Apr 30, 2019"
6:38 PM,$3.19 + $1.00,"Mon, Apr 22, 2019"
8:01 PM,$3.49,"Thu, Apr 18, 2019"
7:11 PM,$3.22,"Tue, Apr 23, 2019"
9:57 PM,$3.19 + $2.00,"Thu, Apr 18, 2019"
,,"Sat, Apr 20, 2019"
11:57 AM,$9.01,"Wed, May 15, 2019"
11:40 AM,$8.23,"Thu, May 16, 2019"
3:43 PM,$3.50 + $2.00,"Tue, May 21, 2019"
4:03 PM,$12.07,"Tue, May 21, 2019"
,,"Wed, May 08, 2019"
1:45 PM,$13.35 + $3.00,"Wed, May 15, 2019"
,,"Mon, May 20, 2019"
,,"Wed, May 01, 2019"
,,"Fri, May 03, 2019"
4:55 PM,$4.53,"Fri, May 17, 2019"
10:02 PM,$15.34,"Thu, May 09, 2019"
3:56 PM,$5.28,"Mon, May 13, 2019"
11:56 PM,$0.00,"Sat, May 18, 2019"
9:48 AM,$4.96,"Tue, May 14, 2019"
10:10 PM,$5.28,"Mon, May 13, 2019"
4:24 PM,$13.93,"Fri, May 17, 2019"
10:36 PM,$7.53 + $2.00,"Thu, May 09, 2019"
3:28 PM,$10.49 + $2.50,"Fri, May 10, 2019"
2:38 PM,$5.05,"Fri, May 10, 2019"
,,"Sat, May 25, 2019"
2:30 PM,$7.54,"Thu, May 09, 2019"
11:20 PM,$6.05 + $3.00,"Mon, May 27, 2019"
,,"Tue, May 07, 2019"
3:38 PM,$3.19,"Fri, May 17, 2019"
3:10 PM,$6.91 + $5.00,"Mon, May 13, 2019"
11:39 PM,$5.71,"Fri, May 17, 2019"
11:03 PM,$7.47 + $3.00,"Mon, May 27, 2019"
11:47 PM,$3.19,"Sat, May 18, 2019"
,,"Thu, May 23, 2019"
1:56 PM,$6.16 + $5.00,"Tue, May 21, 2019"
2:53 PM,$4.37,"Fri, May 10, 2019"
7:09 PM,$7.90,"Sun, May 26, 2019"
2:13 PM,$9.21,"Wed, May 29, 2019"
,,"Sun, May 12, 2019"
12:53 PM,$11.08,"Fri, May 10, 2019"
3:03 PM,$3.66,"Fri, May 10, 2019"
12:01 PM,$3.19,"Thu, May 16, 2019"
9:48 PM,$3.19,"Sat, May 18, 2019"
2:14 PM,$8.50 + $3.00,"Fri, May 17, 2019"
10:03 PM,$3.19,"Sat, May 18, 2019"
9:54 PM,$4.34,"Sat, May 18, 2019"
11:59 PM,$5.00,"Fri, May 17, 2019"
10:17 PM,$6.43,"Sat, May 18, 2019"
12:14 AM,$6.73,"Sat, May 18, 2019"
10:40 PM,$7.25 + $2.00,"Sat, May 18, 2019"
4:00 PM,$0.00,"Fri, May 10, 2019"
11:57 PM,$9.49,"Sat, May 18, 2019"
11:12 PM,$3.19,"Thu, May 02, 2019"
2:30 PM,$6.42,"Tue, May 21, 2019"
3:37 PM,$7.93 + $3.00,"Wed, May 29, 2019"
3:59 PM,$9.23 + $5.00,"Fri, May 10, 2019"
,,"Wed, May 22, 2019"
,,"Fri, May 24, 2019"
2:49 PM,$0.00,"Fri, May 10, 2019"
,,"Thu, May 30, 2019"
12:12 PM,$4.03 + $2.00,"Thu, May 16, 2019"
2:33 PM,$5.56,"Wed, May 29, 2019"
,,"Sun, May 05, 2019"
10:36 PM,$3.19,"Mon, May 27, 2019"
12:36 PM,$15.34,"Mon, May 06, 2019"
2:56 PM,$3.19 + $2.00,"Mon, May 13, 2019"
10:16 PM,$10.63,"Sun, May 26, 2019"
11:17 AM,$3.52,"Thu, May 16, 2019"
12:36 AM,$14.67 + $1.00,"Sat, May 18, 2019"
,,"Sat, May 11, 2019"
11:13 PM,$7.92 + $5.00,"Sat, May 18, 2019"
,,"Tue, May 28, 2019"
11:15 AM,$4.87,"Fri, May 10, 2019"
1:32 PM,$25.86,"Thu, May 09, 2019"
8:01 PM,$8.00,"Sun, May 26, 2019"
,,"Sat, May 04, 2019"
,,"Sun, May 19, 2019"
3:25 PM,$10.00,"Wed, May 15, 2019"
2:11 AM,$0.00,"Thu, Jun 20, 2019"
1:41 PM,$3.19,"Tue, Jun 11, 2019"
12:55 PM,$3.19,"Sat, Jun 15, 2019"
9:23 PM,$8.54,"Sat, Jun 08, 2019"
1:33 PM,$5.25 + $2.00,"Tue, Jun 25, 2019"
2:35 AM,$26.86 + $3.94,"Sat, Jun 22, 2019"
3:10 PM,$7.20,"Mon, Jun 10, 2019"
2:38 PM,$3.59,"Mon, Jun 24, 2019"
1:59 AM,$8.63,"Thu, Jun 20, 2019"
2:22 AM,$0.00,"Sat, Jun 22, 2019"
12:40 AM,$3.22,"Thu, Jun 06, 2019"
1:16 PM,$3.19 + $2.00,"Tue, Jun 11, 2019"
8:01 AM,$4.31 + $2.00,"Thu, Jun 20, 2019"
2:19 AM,$5.17,"Thu, Jun 13, 2019"
1:50 AM,$3.19,"Thu, Jun 06, 2019"
9:44 PM,$6.69 + $1.00,"Sat, Jun 08, 2019"
2:18 AM,$0.00,"Sat, Jun 22, 2019"
10:31 PM,$3.67,"Thu, Jun 13, 2019"
9:47 PM,$3.87,"Sat, Jun 22, 2019"
12:11 PM,$4.51,"Thu, Jun 20, 2019"
11:45 PM,$3.19,"Thu, Jun 13, 2019"
11:15 AM,$3.19,"Mon, Jun 03, 2019"
5:18 PM,$14.04,"Mon, Jun 24, 2019"
1:39 PM,$5.62 + $3.00,"Wed, Jun 05, 2019"
5:47 PM,$3.19 + $2.00,"Wed, Jun 19, 2019"
12:42 AM,$5.14 + $3.00,"Thu, Jun 20, 2019"
12:57 AM,$3.31 + $2.00,"Sat, Jun 22, 2019"
11:20 AM,$5.00,"Sat, Jun 15, 2019"
8:54 PM,$3.19 + $5.00,"Sat, Jun 08, 2019"
4:14 PM,$7.31,"Wed, Jun 05, 2019"
3:19 AM,$5.38 + $3.00,"Thu, Jun 20, 2019"
10:01 AM,$3.88,"Mon, Jun 03, 2019"
4:52 PM,$7.43,"Mon, Jun 24, 2019"
1:53 AM,$3.19,"Thu, Jun 13, 2019"
7:16 AM,$7.38,"Thu, Jun 20, 2019"
,,"Sun, Jun 30, 2019"
,,"Sun, Jun 09, 2019"
12:43 AM,$3.73,"Wed, Jun 26, 2019"
2:25 PM,$3.19,"Sun, Jun 23, 2019"
8:04 PM,$4.91,"Sat, Jun 22, 2019"
1:34 PM,$5.43,"Fri, Jun 07, 2019"
2:51 PM,$3.19,"Tue, Jun 11, 2019"
1:30 PM,$8.92,"Sun, Jun 23, 2019"
2:45 PM,$0.00,"Tue, Jun 11, 2019"
2:46 PM,$3.98 + $3.00,"Tue, Jun 11, 2019"
11:05 AM,$3.64,"Sat, Jun 15, 2019"
11:58 AM,$12.97,"Fri, Jun 14, 2019"
,,"Mon, Jun 17, 2019"
8:16 PM,$5.71,"Sat, Jun 08, 2019"
12:29 PM,$5.35 + $2.00,"Mon, Jun 03, 2019"
8:38 PM,$0.00,"Sat, Jun 01, 2019"
10:59 PM,$10.64 + $3.51,"Sat, Jun 15, 2019"
12:31 PM,$3.52,"Tue, Jun 18, 2019"
7:43 AM,$6.23,"Thu, Jun 20, 2019"
8:18 PM,$8.17,"Wed, Jun 26, 2019"
10:43 PM,$7.69,"Thu, Jun 13, 2019"
3:13 PM,$7.90,"Tue, Jun 04, 2019"
12:17 AM,$3.77,"Thu, Jun 13, 2019"
,,"Thu, Jun 27, 2019"
1:10 PM,$7.69 + $2.00,"Tue, Jun 04, 2019"
4:17 PM,$5.90 + $2.00,"Wed, Jun 19, 2019"
6:49 PM,$5.60,"Sat, Jun 22, 2019"
11:43 AM,$5.96,"Wed, Jun 05, 2019"
1:03 AM,$11.57,"Sat, Jun 22, 2019"
8:11 AM,$3.19,"Thu, Jun 20, 2019"
2:17 AM,$0.00,"Thu, Jun 13, 2019"
12:06 AM,$10.12 + $2.36,"Thu, Jun 06, 2019"
1:35 PM,$9.78,"Mon, Jun 10, 2019"
10:59 AM,$3.49,"Mon, Jun 03, 2019"
11:40 AM,$6.46,"Thu, Jun 20, 2019"
11:55 PM,$19.18,"Wed, Jun 26, 2019"
12:58 PM,$6.01,"Wed, Jun 05, 2019"
2:17 AM,$0.00,"Sat, Jun 22, 2019"
2:38 AM,$17.18 + $5.00,"Fri, Jun 21, 2019"
6:16 PM,$3.19,"Wed, Jun 26, 2019"
1:11 AM,$3.19,"Thu, Jun 13, 2019"
1:20 PM,$3.19 + $2.00,"Mon, Jun 10, 2019"
2:40 AM,$12.43 + $4.12,"Sat, Jun 22, 2019"
7:15 PM,$4.33,"Sat, Jun 22, 2019"
,,"Sun, Jun 16, 2019"
7:46 PM,$5.96,"Sat, Jun 22, 2019"
,,"Sun, Jun 02, 2019"
1:37 AM,$3.64,"Sat, Jun 22, 2019"
,,"Wed, Jun 12, 2019"
6:25 PM,$5.91 + $1.00,"Tue, Jun 18, 2019"
12:48 PM,$10.84,"Thu, Jun 20, 2019"
4:53 PM,$5.08,"Thu, Jun 13, 2019"
3:46 PM,$7.00,"Thu, Jun 20, 2019"
,,"Sat, Jun 29, 2019"
11:21 PM,$6.94 + $2.00,"Tue, Jun 18, 2019"
1:48 AM,$17.02 + $3.82,"Sat, Jun 22, 2019"
8:00 PM,$3.76 + $1.00,"Thu, Jun 13, 2019"
6:53 PM,$3.19 + $2.00,"Mon, Jun 03, 2019"
5:24 PM,$9.37,"Tue, Jun 18, 2019"
10:16 PM,$6.28,"Sat, Jun 15, 2019"
2:11 AM,$0.00,"Thu, Jun 20, 2019"
10:19 PM,$4.19 + $2.00,"Thu, Jun 13, 2019"
1:05 PM,$9.46,"Fri, Jun 07, 2019"
1:35 AM,$5.03,"Thu, Jun 13, 2019"
3:40 PM,$6.34,"Tue, Jun 11, 2019"
5:07 PM,$9.37,"Wed, Jun 19, 2019"
5:45 PM,$18.64 + $5.56,"Tue, Jun 18, 2019"
1:14 AM,$3.19,"Thu, Jun 20, 2019"
11:13 AM,$6.39,"Wed, Jun 05, 2019"
,,"Fri, Jun 28, 2019"
8:30 PM,$3.19,"Sat, Jun 01, 2019"
8:34 PM,$3.19 + $5.00,"Sat, Jun 22, 2019"
12:33 AM,$3.19,"Thu, Jun 06, 2019"
11:13 PM,$6.46 + $2.00,"Tue, Jun 18, 2019"
2:13 PM,$12.40,"Tue, Jun 04, 2019"
9:13 PM,$8.40,"Thu, Jun 13, 2019"
2:44 AM,$3.19,"Thu, Jun 13, 2019"
10:40 AM,$3.19,"Mon, Jun 03, 2019"
2:23 AM,$0.00,"Sat, Jun 22, 2019"
8:34 PM,$7.37,"Sat, Jun 08, 2019"
2:23 AM,$0.00,"Sat, Jun 22, 2019"
7:06 PM,$12.11,"Sat, Jul 13, 2019"
9:16 PM,$4.04 + $1.00,"Wed, Jul 10, 2019"
11:34 PM,$3.19 + $2.00,"Sat, Jul 13, 2019"
11:26 AM,$4.29,"Sun, Jul 14, 2019"
9:17 AM,$5.34 + $2.00,"Sat, Jul 20, 2019"
11:45 PM,$5.08 + $2.00,"Sat, Jul 13, 2019"
12:04 PM,$6.61 + $5.00,"Sat, Jul 20, 2019"
11:35 AM,$0.00,"Wed, Jul 10, 2019"
10:10 PM,$10.09,"Mon, Jul 29, 2019"
8:41 PM,$3.82,"Fri, Jul 26, 2019"
,,"Tue, Jul 23, 2019"
2:23 PM,$5.23,"Sun, Jul 14, 2019"
7:00 PM,$5.01,"Mon, Jul 29, 2019"
7:35 PM,$8.99 + $2.27,"Mon, Jul 29, 2019"
3:54 PM,$13.21,"Mon, Jul 29, 2019"
2:52 PM,$3.19,"Wed, Jul 10, 2019"
12:55 PM,$0.00,"Wed, Jul 24, 2019"
9:14 PM,$16.52 + $4.33,"Sat, Jul 13, 2019"
12:25 PM,$3.19,"Thu, Jul 25, 2019"
9:43 PM,$6.07 + $2.00,"Tue, Jul 16, 2019"
8:05 PM,$0.00,"Wed, Jul 24, 2019"
3:31 PM,$3.19,"Mon, Jul 29, 2019"
11:39 AM,$4.16 + $3.00,"Sat, Jul 20, 2019"
2:12 PM,$3.19 + $3.00,"Wed, Jul 10, 2019"
8:26 PM,$0.00,"Sat, Jul 27, 2019"
12:18 PM,$3.82,"Wed, Jul 24, 2019"
10:45 PM,$4.06,"Tue, Jul 16, 2019"
3:22 PM,$6.07,"Wed, Jul 10, 2019"
10:58 PM,$11.06,"Sat, Jul 13, 2019"
9:24 PM,$3.43,"Mon, Jul 29, 2019"
,,"Fri, Jul 12, 2019"
3:19 PM,$11.19,"Thu, Jul 18, 2019"
7:24 PM,$5.47,"Sun, Jul 14, 2019"
2:11 PM,$4.37 + $3.00,"Sun, Jul 14, 2019"
,,"Mon, Jul 15, 2019"
1:41 PM,$5.91,"Thu, Jul 25, 2019"
,,"Wed, Jul 17, 2019"
12:25 PM,$44.08 + $10.00,"Sat, Jul 20, 2019"
2:16 PM,$8.00,"Fri, Jul 26, 2019"
11:18 AM,$4.05 + $5.00,"Sun, Jul 14, 2019"
3:44 PM,$3.61 + $2.00,"Mon, Jul 29, 2019"
9:45 PM,$3.19,"Sat, Jul 13, 2019"
8:54 PM,$6.12,"Wed, Jul 24, 2019"
,,"Mon, Jul 22, 2019"
1:56 PM,$4.46,"Wed, Jul 10, 2019"
,,"Sun, Jul 28, 2019"
12:39 PM,$8.50 + $5.00,"Wed, Jul 10, 2019"
11:09 AM,$3.64,"Sat, Jul 20, 2019"
10:50 AM,$5.77,"Tue, Jul 30, 2019"
8:18 PM,$0.00,"Thu, Jul 18, 2019"
10:10 AM,$21.72 + $5.87,"Sat, Jul 20, 2019"
6:04 PM,$4.89 + $2.00,"Mon, Jul 29, 2019"
7:11 PM,$5.00,"Sun, Jul 14, 2019"
11:06 AM,$8.02 + $1.00,"Thu, Jul 11, 2019"
9:51 PM,$3.19,"Sat, Jul 27, 2019"
12:37 PM,$6.66,"Thu, Jul 25, 2019"
9:20 PM,$3.19,"Fri, Jul 26, 2019"
10:11 PM,$3.19,"Sat, Jul 13, 2019"
12:38 PM,$8.49 + $2.00,"Wed, Jul 24, 2019"
11:29 AM,$6.67 + $2.00,"Sat, Jul 20, 2019"
8:52 PM,$5.80 + $2.00,"Fri, Jul 26, 2019"
,,"Fri, Jul 19, 2019"
7:39 PM,$5.56,"Sat, Jul 13, 2019"
10:49 PM,$5.00,"Sat, Jul 13, 2019"
,,"Sun, Jul 21, 2019"
9:44 PM,$3.19,"Sat, Jul 27, 2019"
6:57 PM,$3.85 + $2.00,"Wed, Jul 24, 2019"
9:17 PM,$9.78,"Thu, Jul 18, 2019"
2:03 PM,$3.19,"Sun, Jul 14, 2019"
9:22 PM,$3.20,"Tue, Jul 16, 2019"
6:54 PM,$4.82 + $2.00,"Sun, Jul 14, 2019"
