'Tuesday, March 19, 2019 12:22 PM',7.4
'Tuesday, March 19, 2019 14:28 PM',9.379999999999999
'Tuesday, March 19, 2019 14:49 PM',8.18
'Tuesday, March 19, 2019 15:17 PM',0.0
'Wednesday, March 20, 2019 11:28 AM',3.19
'Wednesday, March 20, 2019 11:43 AM',8.16
'Wednesday, March 20, 2019 13:00 PM',11.05
'Wednesday, March 20, 2019 15:00 PM',5.0
'Wednesday, March 20, 2019 15:18 PM',22.1
'Wednesday, March 20, 2019 16:34 PM',11.29
'Wednesday, March 20, 2019 17:13 PM',10.91
'Wednesday, March 20, 2019 18:22 PM',3.19
'Wednesday, March 20, 2019 18:32 PM',8.61
'Wednesday, March 20, 2019 18:55 PM',4.5600000000000005
'Thursday, March 21, 2019 12:52 PM',10.24
'Thursday, March 21, 2019 13:49 PM',19.65
'Thursday, March 21, 2019 14:25 PM',11.93
'Thursday, March 21, 2019 14:43 PM',7.97
'Thursday, March 21, 2019 20:41 PM',4.68
'Thursday, March 21, 2019 20:58 PM',3.68
'Thursday, March 21, 2019 21:16 PM',8.1
'Thursday, March 21, 2019 21:30 PM',3.51
'Thursday, March 21, 2019 22:07 PM',4.45
'Thursday, March 21, 2019 22:45 PM',11.53
'Thursday, March 21, 2019 23:06 PM',9.15
'Friday, March 22, 2019 14:29 PM',9.9
'Wednesday, April 17, 2019 19:41 PM',82.36
'Tuesday, April 30, 2019 12:05 PM',3.19
'Thursday, April 18, 2019 19:43 PM',3.33
'Monday, April 22, 2019 18:16 PM',5.11
'Thursday, April 18, 2019 01:27 AM',4.1899999999999995
'Friday, April 19, 2019 14:09 PM',6.45
'Tuesday, April 30, 2019 10:15 AM',8.86
'Wednesday, April 24, 2019 17:31 PM',8.91
'Tuesday, April 30, 2019 10:31 AM',10.95
'Friday, April 19, 2019 13:41 PM',7.26
'Thursday, April 18, 2019 22:37 PM',3.19
'Monday, April 29, 2019 13:45 PM',4.4
'Monday, April 29, 2019 16:55 PM',3.22
'Tuesday, April 30, 2019 13:20 PM',6.47
'Thursday, April 18, 2019 21:20 PM',4.05
'Monday, April 22, 2019 15:36 PM',13.35
'Thursday, April 18, 2019 01:42 AM',0.0
'Friday, April 19, 2019 13:28 PM',3.19
'Tuesday, April 23, 2019 17:03 PM',7.3
'Wednesday, April 17, 2019 18:03 PM',12.24
'Thursday, April 18, 2019 21:01 PM',4.1899999999999995
'Tuesday, April 23, 2019 16:55 PM',3.19
'Friday, April 19, 2019 14:28 PM',4.72
'Monday, April 29, 2019 17:05 PM',3.19
'Thursday, April 18, 2019 22:43 PM',3.19
'Friday, April 19, 2019 14:46 PM',3.19
'Wednesday, April 17, 2019 15:59 PM',5.42
'Thursday, April 18, 2019 19:51 PM',3.48
'Monday, April 22, 2019 18:03 PM',0.0
'Monday, April 22, 2019 14:49 PM',3.46
'Tuesday, April 23, 2019 19:24 PM',4.1899999999999995
'Wednesday, April 17, 2019 17:04 PM',4.21
'Friday, April 19, 2019 14:55 PM',9.7
'Monday, April 22, 2019 16:49 PM',18.23
'Wednesday, April 24, 2019 19:24 PM',3.19
'Tuesday, April 30, 2019 12:31 PM',3.19
'Monday, April 22, 2019 18:38 PM',4.1899999999999995
'Thursday, April 18, 2019 20:01 PM',3.49
'Tuesday, April 23, 2019 19:11 PM',3.22
'Thursday, April 18, 2019 21:57 PM',5.1899999999999995
'Wednesday, May 15, 2019 11:57 AM',9.01
'Thursday, May 16, 2019 11:40 AM',8.23
'Tuesday, May 21, 2019 15:43 PM',5.5
'Tuesday, May 21, 2019 16:03 PM',12.07
'Wednesday, May 15, 2019 13:45 PM',16.35
'Friday, May 17, 2019 16:55 PM',4.53
'Thursday, May 09, 2019 22:02 PM',15.34
'Monday, May 13, 2019 15:56 PM',5.28
'Saturday, May 18, 2019 23:56 PM',0.0
'Tuesday, May 14, 2019 09:48 AM',4.96
'Monday, May 13, 2019 22:10 PM',5.28
'Friday, May 17, 2019 16:24 PM',13.93
'Thursday, May 09, 2019 22:36 PM',9.530000000000001
'Friday, May 10, 2019 15:28 PM',12.99
'Friday, May 10, 2019 14:38 PM',5.05
'Thursday, May 09, 2019 14:30 PM',7.54
'Monday, May 27, 2019 23:20 PM',9.05
'Friday, May 17, 2019 15:38 PM',3.19
'Monday, May 13, 2019 15:10 PM',11.91
'Friday, May 17, 2019 23:39 PM',5.71
'Monday, May 27, 2019 23:03 PM',10.469999999999999
'Saturday, May 18, 2019 23:47 PM',3.19
'Tuesday, May 21, 2019 13:56 PM',11.16
'Friday, May 10, 2019 14:53 PM',4.37
'Sunday, May 26, 2019 19:09 PM',7.9
'Wednesday, May 29, 2019 14:13 PM',9.21
'Friday, May 10, 2019 12:53 PM',11.08
'Friday, May 10, 2019 15:03 PM',3.66
'Thursday, May 16, 2019 12:01 PM',3.19
'Saturday, May 18, 2019 21:48 PM',3.19
'Friday, May 17, 2019 14:14 PM',11.5
'Saturday, May 18, 2019 22:03 PM',3.19
'Saturday, May 18, 2019 21:54 PM',4.34
'Friday, May 17, 2019 23:59 PM',5.0
'Saturday, May 18, 2019 22:17 PM',6.43
'Saturday, May 18, 2019 00:14 AM',6.73
'Saturday, May 18, 2019 22:40 PM',9.25
'Friday, May 10, 2019 16:00 PM',0.0
'Saturday, May 18, 2019 23:57 PM',9.49
'Thursday, May 02, 2019 23:12 PM',3.19
'Tuesday, May 21, 2019 14:30 PM',6.42
'Wednesday, May 29, 2019 15:37 PM',10.93
'Friday, May 10, 2019 15:59 PM',14.23
'Friday, May 10, 2019 14:49 PM',0.0
'Thursday, May 16, 2019 12:12 PM',6.03
'Wednesday, May 29, 2019 14:33 PM',5.56
'Monday, May 27, 2019 22:36 PM',3.19
'Monday, May 06, 2019 12:36 PM',15.34
'Monday, May 13, 2019 14:56 PM',5.1899999999999995
'Sunday, May 26, 2019 22:16 PM',10.63
'Thursday, May 16, 2019 11:17 AM',3.52
'Saturday, May 18, 2019 00:36 AM',15.67
'Saturday, May 18, 2019 23:13 PM',12.92
'Friday, May 10, 2019 11:15 AM',4.87
'Thursday, May 09, 2019 13:32 PM',25.86
'Sunday, May 26, 2019 20:01 PM',8.0
'Wednesday, May 15, 2019 15:25 PM',10.0
'Thursday, June 20, 2019 02:11 AM',0.0
'Tuesday, June 11, 2019 13:41 PM',3.19
'Saturday, June 15, 2019 12:55 PM',3.19
'Saturday, June 08, 2019 21:23 PM',8.54
'Tuesday, June 25, 2019 13:33 PM',7.25
'Saturday, June 22, 2019 02:35 AM',30.8
'Monday, June 10, 2019 15:10 PM',7.2
'Monday, June 24, 2019 14:38 PM',3.59
'Thursday, June 20, 2019 01:59 AM',8.63
'Saturday, June 22, 2019 02:22 AM',0.0
'Thursday, June 06, 2019 00:40 AM',3.22
'Tuesday, June 11, 2019 13:16 PM',5.1899999999999995
'Thursday, June 20, 2019 08:01 AM',6.31
'Thursday, June 13, 2019 02:19 AM',5.17
'Thursday, June 06, 2019 01:50 AM',3.19
'Saturday, June 08, 2019 21:44 PM',7.69
'Saturday, June 22, 2019 02:18 AM',0.0
'Thursday, June 13, 2019 22:31 PM',3.67
'Saturday, June 22, 2019 21:47 PM',3.87
'Thursday, June 20, 2019 12:11 PM',4.51
'Thursday, June 13, 2019 23:45 PM',3.19
'Monday, June 03, 2019 11:15 AM',3.19
'Monday, June 24, 2019 17:18 PM',14.04
'Wednesday, June 05, 2019 13:39 PM',8.620000000000001
'Wednesday, June 19, 2019 17:47 PM',5.1899999999999995
'Thursday, June 20, 2019 00:42 AM',8.14
'Saturday, June 22, 2019 00:57 AM',5.3100000000000005
'Saturday, June 15, 2019 11:20 AM',5.0
'Saturday, June 08, 2019 20:54 PM',8.19
'Wednesday, June 05, 2019 16:14 PM',7.31
'Thursday, June 20, 2019 03:19 AM',8.379999999999999
'Monday, June 03, 2019 10:01 AM',3.88
'Monday, June 24, 2019 16:52 PM',7.43
'Thursday, June 13, 2019 01:53 AM',3.19
'Thursday, June 20, 2019 07:16 AM',7.38
'Wednesday, June 26, 2019 00:43 AM',3.73
'Sunday, June 23, 2019 14:25 PM',3.19
'Saturday, June 22, 2019 20:04 PM',4.91
'Friday, June 07, 2019 13:34 PM',5.43
'Tuesday, June 11, 2019 14:51 PM',3.19
'Sunday, June 23, 2019 13:30 PM',8.92
'Tuesday, June 11, 2019 14:45 PM',0.0
'Tuesday, June 11, 2019 14:46 PM',6.98
'Saturday, June 15, 2019 11:05 AM',3.64
'Friday, June 14, 2019 11:58 AM',12.97
'Saturday, June 08, 2019 20:16 PM',5.71
'Monday, June 03, 2019 12:29 PM',7.35
'Saturday, June 01, 2019 20:38 PM',0.0
'Saturday, June 15, 2019 22:59 PM',14.15
'Tuesday, June 18, 2019 12:31 PM',3.52
'Thursday, June 20, 2019 07:43 AM',6.23
'Wednesday, June 26, 2019 20:18 PM',8.17
'Thursday, June 13, 2019 22:43 PM',7.69
'Tuesday, June 04, 2019 15:13 PM',7.9
'Thursday, June 13, 2019 00:17 AM',3.77
'Tuesday, June 04, 2019 13:10 PM',9.690000000000001
'Wednesday, June 19, 2019 16:17 PM',7.9
'Saturday, June 22, 2019 18:49 PM',5.6
'Wednesday, June 05, 2019 11:43 AM',5.96
'Saturday, June 22, 2019 01:03 AM',11.57
'Thursday, June 20, 2019 08:11 AM',3.19
'Thursday, June 13, 2019 02:17 AM',0.0
'Thursday, June 06, 2019 00:06 AM',12.479999999999999
'Monday, June 10, 2019 13:35 PM',9.78
'Monday, June 03, 2019 10:59 AM',3.49
'Thursday, June 20, 2019 11:40 AM',6.46
'Wednesday, June 26, 2019 23:55 PM',19.18
'Wednesday, June 05, 2019 12:58 PM',6.01
'Saturday, June 22, 2019 02:17 AM',0.0
'Friday, June 21, 2019 02:38 AM',22.18
'Wednesday, June 26, 2019 18:16 PM',3.19
'Thursday, June 13, 2019 01:11 AM',3.19
'Monday, June 10, 2019 13:20 PM',5.1899999999999995
'Saturday, June 22, 2019 02:40 AM',16.55
'Saturday, June 22, 2019 19:15 PM',4.33
'Saturday, June 22, 2019 19:46 PM',5.96
'Saturday, June 22, 2019 01:37 AM',3.64
'Tuesday, June 18, 2019 18:25 PM',6.91
'Thursday, June 20, 2019 12:48 PM',10.84
'Thursday, June 13, 2019 16:53 PM',5.08
'Thursday, June 20, 2019 15:46 PM',7.0
'Tuesday, June 18, 2019 23:21 PM',8.940000000000001
'Saturday, June 22, 2019 01:48 AM',20.84
'Thursday, June 13, 2019 20:00 PM',4.76
'Monday, June 03, 2019 18:53 PM',5.1899999999999995
'Tuesday, June 18, 2019 17:24 PM',9.37
'Saturday, June 15, 2019 22:16 PM',6.28
'Thursday, June 20, 2019 02:11 AM',0.0
'Thursday, June 13, 2019 22:19 PM',6.19
'Friday, June 07, 2019 13:05 PM',9.46
'Thursday, June 13, 2019 01:35 AM',5.03
'Tuesday, June 11, 2019 15:40 PM',6.34
'Wednesday, June 19, 2019 17:07 PM',9.37
'Tuesday, June 18, 2019 17:45 PM',24.2
'Thursday, June 20, 2019 01:14 AM',3.19
'Wednesday, June 05, 2019 11:13 AM',6.39
'Saturday, June 01, 2019 20:30 PM',3.19
'Saturday, June 22, 2019 20:34 PM',8.19
'Thursday, June 06, 2019 00:33 AM',3.19
'Tuesday, June 18, 2019 23:13 PM',8.46
'Tuesday, June 04, 2019 14:13 PM',12.4
'Thursday, June 13, 2019 21:13 PM',8.4
'Thursday, June 13, 2019 02:44 AM',3.19
'Monday, June 03, 2019 10:40 AM',3.19
'Saturday, June 22, 2019 02:23 AM',0.0
'Saturday, June 08, 2019 20:34 PM',7.37
'Saturday, June 22, 2019 02:23 AM',0.0
'Saturday, July 13, 2019 19:06 PM',12.11
'Wednesday, July 10, 2019 21:16 PM',5.04
'Saturday, July 13, 2019 23:34 PM',5.1899999999999995
'Sunday, July 14, 2019 11:26 AM',4.29
'Saturday, July 20, 2019 09:17 AM',7.34
'Saturday, July 13, 2019 23:45 PM',7.08
'Saturday, July 20, 2019 12:04 PM',11.61
'Wednesday, July 10, 2019 11:35 AM',0.0
'Monday, July 29, 2019 22:10 PM',10.09
'Friday, July 26, 2019 20:41 PM',3.82
'Sunday, July 14, 2019 14:23 PM',5.23
'Monday, July 29, 2019 19:00 PM',5.01
'Monday, July 29, 2019 19:35 PM',11.26
'Monday, July 29, 2019 15:54 PM',13.21
'Wednesday, July 10, 2019 14:52 PM',3.19
'Wednesday, July 24, 2019 12:55 PM',0.0
'Saturday, July 13, 2019 21:14 PM',20.85
'Thursday, July 25, 2019 12:25 PM',3.19
'Tuesday, July 16, 2019 21:43 PM',8.07
'Wednesday, July 24, 2019 20:05 PM',0.0
'Monday, July 29, 2019 15:31 PM',3.19
'Saturday, July 20, 2019 11:39 AM',7.16
'Wednesday, July 10, 2019 14:12 PM',6.1899999999999995
'Saturday, July 27, 2019 20:26 PM',0.0
'Wednesday, July 24, 2019 12:18 PM',3.82
'Tuesday, July 16, 2019 22:45 PM',4.06
'Wednesday, July 10, 2019 15:22 PM',6.07
'Saturday, July 13, 2019 22:58 PM',11.06
'Monday, July 29, 2019 21:24 PM',3.43
'Thursday, July 18, 2019 15:19 PM',11.19
'Sunday, July 14, 2019 19:24 PM',5.47
'Sunday, July 14, 2019 14:11 PM',7.37
'Thursday, July 25, 2019 13:41 PM',5.91
'Saturday, July 20, 2019 12:25 PM',54.08
'Friday, July 26, 2019 14:16 PM',8.0
'Sunday, July 14, 2019 11:18 AM',9.05
'Monday, July 29, 2019 15:44 PM',5.609999999999999
'Saturday, July 13, 2019 21:45 PM',3.19
'Wednesday, July 24, 2019 20:54 PM',6.12
'Wednesday, July 10, 2019 13:56 PM',4.46
'Wednesday, July 10, 2019 12:39 PM',13.5
'Saturday, July 20, 2019 11:09 AM',3.64
'Tuesday, July 30, 2019 10:50 AM',5.77
'Thursday, July 18, 2019 20:18 PM',0.0
'Saturday, July 20, 2019 10:10 AM',27.59
'Monday, July 29, 2019 18:04 PM',6.89
'Sunday, July 14, 2019 19:11 PM',5.0
'Thursday, July 11, 2019 11:06 AM',9.02
'Saturday, July 27, 2019 21:51 PM',3.19
'Thursday, July 25, 2019 12:37 PM',6.66
'Friday, July 26, 2019 21:20 PM',3.19
'Saturday, July 13, 2019 22:11 PM',3.19
'Wednesday, July 24, 2019 12:38 PM',10.49
'Saturday, July 20, 2019 11:29 AM',8.67
'Friday, July 26, 2019 20:52 PM',7.8
'Saturday, July 13, 2019 19:39 PM',5.56
'Saturday, July 13, 2019 22:49 PM',5.0
'Saturday, July 27, 2019 21:44 PM',3.19
'Wednesday, July 24, 2019 18:57 PM',5.85
'Thursday, July 18, 2019 21:17 PM',9.78
'Sunday, July 14, 2019 14:03 PM',3.19
'Tuesday, July 16, 2019 21:22 PM',3.2
'Sunday, July 14, 2019 18:54 PM',6.82
'Saturday, February 16, 2019 10:32 PM',1.0
'Saturday, February 16, 2019 10:38 PM',0.5
'Wednesday, May 15, 2019 04:02 PM',29.17
'Wednesday, May 15, 2019 04:47 PM',15.42
'Wednesday, May 15, 2019 05:16 PM',18.37
'Wednesday, May 15, 2019 03:49 PM',5.92
'Friday, July 12, 2019 10:43 AM',35.1
'Friday, July 12, 2019 01:25 PM',10.38
'Friday, July 12, 2019 01:03 PM',10.81
'Friday, July 12, 2019 10:35 AM',3.19
'Monday, June 24, 2019 12:43 PM',6.19
'Monday, June 24, 2019 02:32 PM',4.19
'Monday, June 24, 2019 04:03 PM',4.38
'Monday, June 24, 2019 12:37 PM',4.7
'Monday, June 24, 2019 12:55 PM',3.9
'Monday, June 24, 2019 03:17 PM',3.2
'Monday, June 24, 2019 03:36 PM',11.83
'Tuesday, June 18, 2019 01:44 PM',7.16
'Wednesday, June 19, 2019 12:16 AM',3.64
'Tuesday, June 18, 2019 01:38 PM',3.2
'Wednesday, June 19, 2019 12:09 AM',3.2
'Tuesday, June 18, 2019 11:53 PM',3.2
'Friday, April 19, 2019 03:20 PM',8.36
'Friday, April 19, 2019 03:48 PM',9.02
'Friday, April 19, 2019 04:54 PM',14.5
'Thursday, April 18, 2019 08:16 PM',1.0
'Friday, April 19, 2019 03:35 PM',6.34
'Friday, July 19, 2019 03:42 PM',1.0
'Saturday, July 20, 2019 08:40 AM',5.71
'Wednesday, April 17, 2019 07:08 PM',4.19
'Wednesday, April 17, 2019 06:36 PM',3.19
'Wednesday, April 17, 2019 04:25 PM',3.0
'Wednesday, April 17, 2019 07:02 PM',3.19
'Wednesday, April 17, 2019 05:49 PM',3.19
'Wednesday, April 17, 2019 07:18 PM',3.2
'Wednesday, April 17, 2019 04:37 PM',9.3
'Wednesday, April 17, 2019 06:44 PM',3.19
'Tuesday, June 25, 2019 07:19 PM',3.81
'Sunday, June 23, 2019 11:45 PM',2.0
'Tuesday, June 25, 2019 05:24 PM',3.19
'Tuesday, June 25, 2019 06:14 PM',8.35
'Tuesday, June 25, 2019 06:00 PM',5.8
'Tuesday, June 25, 2019 06:51 PM',10.99
'Thursday, April 25, 2019 03:26 PM',6.76
'Thursday, April 25, 2019 03:02 PM',5.94
'Thursday, April 25, 2019 05:18 PM',6.38
'Thursday, April 25, 2019 04:32 PM',3.22
'Thursday, April 25, 2019 04:37 PM',5.6
'Thursday, April 25, 2019 04:12 PM',8.07
'Thursday, April 25, 2019 03:51 PM',9.04
'Thursday, April 25, 2019 03:35 PM',3.2
'Thursday, April 25, 2019 03:09 PM',10.44
'Thursday, April 25, 2019 04:56 PM',6.83
'Thursday, June 20, 2019 01:25 PM',8.19
'Thursday, June 20, 2019 06:32 AM',3.21
'Thursday, June 20, 2019 12:30 PM',7.88
'Thursday, June 20, 2019 06:42 AM',3.4
'Thursday, July 11, 2019 10:52 AM',4.8
'Wednesday, July 10, 2019 03:04 PM',1.0
'Thursday, July 11, 2019 08:17 AM',12.22
'Thursday, July 11, 2019 08:02 AM',5.68
'Thursday, July 11, 2019 10:17 AM',3.2
'Monday, June 24, 2019 04:38 PM',3.2
'Monday, June 24, 2019 10:47 PM',11.19
'Sunday, June 23, 2019 11:35 PM',1.0
'Tuesday, June 11, 2019 01:35 PM',3.2
'Tuesday, June 11, 2019 03:22 PM',8.62
'Tuesday, June 11, 2019 12:59 PM',3.2
'Tuesday, June 11, 2019 01:55 PM',11.13
'Tuesday, May 21, 2019 03:00 PM',11.4
'Tuesday, July 09, 2019 03:31 PM',3.49
'Tuesday, July 09, 2019 04:14 PM',5.58
'Tuesday, July 09, 2019 03:40 PM',3.19
'Tuesday, July 09, 2019 02:46 PM',5.29
'Saturday, June 01, 2019 08:46 PM',9.13
'Saturday, June 01, 2019 08:16 PM',5.91
'Saturday, June 01, 2019 09:47 PM',3.2
'Saturday, June 01, 2019 08:02 PM',6.84
'Tuesday, July 02, 2019 04:29 PM',7.1
'Thursday, May 23, 2019 11:45 AM',3.2
'Thursday, May 23, 2019 12:13 PM',9.14
'Wednesday, July 17, 2019 03:40 PM',8.1
'Wednesday, July 17, 2019 04:27 PM',8.62
'Wednesday, July 17, 2019 04:04 PM',6.85
'Monday, April 01, 2019 04:35 PM',6.2
'Monday, April 01, 2019 11:40 AM',9.37
'Monday, April 01, 2019 04:55 PM',10.49
'Monday, April 01, 2019 12:15 PM',3.19
'Friday, May 31, 2019 10:31 PM',4.19
'Wednesday, May 29, 2019 05:55 PM',1.0
'Friday, May 31, 2019 10:18 PM',3.19
'Friday, May 31, 2019 11:15 PM',10.92
'Monday, May 27, 2019 09:11 PM',3.0
'Friday, May 31, 2019 11:35 PM',3.19
'Wednesday, May 29, 2019 05:55 PM',5.34
'Wednesday, May 29, 2019 04:56 PM',3.28
'Wednesday, May 29, 2019 05:12 PM',6.19
'Wednesday, May 29, 2019 04:03 PM',3.95
'Wednesday, May 29, 2019 05:27 PM',5.73
'Wednesday, May 29, 2019 03:26 PM',4.29
'Saturday, July 13, 2019 10:36 PM',3.0
'Saturday, July 13, 2019 06:32 PM',7.27
'Saturday, July 13, 2019 11:42 PM',3.0
'Saturday, July 13, 2019 10:23 PM',3.69
'Saturday, July 13, 2019 06:46 PM',3.44
'Saturday, July 13, 2019 09:01 AM',9.8
'Saturday, July 13, 2019 09:16 AM',9.12
'Saturday, July 13, 2019 08:24 PM',6.46
'Saturday, July 13, 2019 07:47 AM',7.79
'Saturday, July 13, 2019 08:06 AM',6.14
'Saturday, July 13, 2019 08:36 PM',10.41
'Saturday, July 13, 2019 08:42 AM',4.67
'Saturday, July 13, 2019 09:58 PM',6.33
'Monday, June 03, 2019 03:24 PM',8.12
'Monday, June 03, 2019 05:33 PM',3.57
'Monday, June 03, 2019 07:04 PM',8.82
'Monday, June 03, 2019 06:42 PM',4.94
'Monday, June 03, 2019 06:13 PM',14.43
'Monday, June 03, 2019 07:19 PM',4.51
'Tuesday, May 14, 2019 12:02 AM',3.19
'Monday, May 13, 2019 11:46 PM',3.33
'Monday, May 13, 2019 04:42 PM',4.47
'Monday, May 13, 2019 11:18 PM',9.28
'Monday, May 13, 2019 01:38 PM',9.39
'Monday, May 13, 2019 04:20 PM',8.12
'Monday, May 13, 2019 01:06 PM',3.19
'Monday, May 13, 2019 11:56 PM',3.19
'Monday, May 13, 2019 02:23 PM',8.84
'Monday, May 13, 2019 01:19 PM',3.19
'Monday, May 13, 2019 11:39 PM',4.19
'Monday, May 13, 2019 03:39 PM',7.41
'Monday, May 13, 2019 10:49 PM',26.2
'Wednesday, July 10, 2019 11:53 AM',3.59
'Wednesday, July 10, 2019 03:44 PM',14.7
'Wednesday, July 10, 2019 12:01 PM',8.64
'Wednesday, July 10, 2019 11:13 AM',4.97
'Wednesday, July 10, 2019 03:04 PM',5.29
'Wednesday, July 10, 2019 02:23 PM',5.37
'Thursday, June 06, 2019 03:37 PM',7.3
'Thursday, June 06, 2019 04:13 PM',7.13
'Thursday, June 06, 2019 10:41 PM',17.83
'Friday, June 07, 2019 01:28 AM',5.2
'Friday, June 07, 2019 01:58 AM',25.44
'Thursday, June 06, 2019 11:16 PM',3.98
'Wednesday, June 05, 2019 07:58 PM',3.0
'Friday, June 07, 2019 12:55 AM',3.2
'Friday, June 07, 2019 01:21 AM',3.0
'Thursday, June 06, 2019 11:24 PM',15.67
'Thursday, June 06, 2019 03:49 PM',7.87
'Thursday, June 06, 2019 02:22 PM',12.8
'Thursday, June 06, 2019 02:01 PM',6.87
'Thursday, June 06, 2019 04:44 PM',8.11
'Thursday, June 06, 2019 04:57 PM',20.35
'Friday, June 07, 2019 01:40 AM',4.19
'Wednesday, June 05, 2019 04:41 PM',1.0
'Thursday, June 06, 2019 04:30 PM',3.67
'Thursday, June 06, 2019 01:34 PM',9.61
'Friday, June 07, 2019 01:06 AM',4.51
'Friday, June 07, 2019 12:52 AM',3.19
'Thursday, June 06, 2019 03:01 PM',5.35
'Friday, July 19, 2019 04:04 PM',3.19
'Friday, July 19, 2019 04:55 PM',19.34
'Friday, July 19, 2019 03:47 PM',7.51
'Friday, July 19, 2019 03:42 PM',4.26
'Friday, July 19, 2019 06:13 PM',8.99
'Friday, July 19, 2019 04:15 PM',6.77
'Friday, May 17, 2019 09:39 PM',6.94
'Friday, May 17, 2019 03:03 PM',10.69
'Friday, May 17, 2019 03:59 PM',12.75
'Friday, May 17, 2019 03:18 PM',3.19
'Thursday, May 16, 2019 10:52 AM',3.31
'Saturday, May 18, 2019 12:11 AM',3.19
'Wednesday, May 15, 2019 01:35 PM',3.0
'Friday, May 17, 2019 09:54 PM',7.28
'Wednesday, May 15, 2019 05:16 PM',4.85
'Friday, May 17, 2019 10:25 PM',17.53
'Friday, May 17, 2019 11:19 PM',12.07
'Saturday, May 18, 2019 12:04 AM',3.2
'Friday, May 17, 2019 10:59 PM',3.2
'Friday, May 17, 2019 10:18 PM',3.34
'Sunday, July 14, 2019 10:47 AM',4.19
'Sunday, July 14, 2019 06:42 PM',4.89
'Sunday, July 14, 2019 11:01 AM',9.04
'Monday, March 11, 2019 01:51 PM',3.2
'Wednesday, March 13, 2019 05:07 PM',3.19
'Monday, March 11, 2019 02:20 PM',5.7
'Monday, March 11, 2019 04:48 PM',9.69
'Friday, March 15, 2019 06:10 PM',4.04
'Monday, March 11, 2019 05:35 PM',4.33
'Tuesday, March 12, 2019 03:49 PM',4.87
'Tuesday, March 12, 2019 02:51 PM',10.81
'Thursday, March 14, 2019 10:30 PM',13.57
'Thursday, March 14, 2019 09:22 PM',5.04
'Monday, March 11, 2019 11:51 AM',10.44
'Monday, March 11, 2019 11:57 AM',6.7
'Wednesday, March 13, 2019 01:22 PM',10.38
'Thursday, March 14, 2019 10:10 PM',5.26
'Friday, March 15, 2019 01:53 PM',5.73
